"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel","total_delay.pct","carrier_delay.pct","weather_delay.pct","nas_delay.pct","security_delay.pct","late_aircraft_delay.pct"
"CO","Continental Air Lines Inc.",2011,2631192,795418,118386,1084607,7280,625501,0.0426615616183049,0.0428721860509439,0.046273940508284,0.0708744766620859,0.0894865585780488,0.0248414153190071,0.00680322522879392,0.00671207869368791,0.00709473854534667,0.0117073407780357,0.0142242785770251,0.00394863263268521
"DL","Delta Air Lines Inc.",2010,8195204,2910046,380885,2317622,3371,2583280,0.129553084758427,0.151426837146654,0.136752606264801,0.142806405129348,0.0313844148589517,0.103670189077862,0.0211895667849069,0.0245562179310146,0.0228260055314342,0.0250166102087417,0.00658654437955377,0.0163076057550077
"DL","Delta Air Lines Inc.",2011,6379583,2188241,300469,1827410,2316,2061147,0.103437139233317,0.117943867597041,0.117445345147092,0.119413508669096,0.0284685260531265,0.0818572770635469,0.0164950866431582,0.0184653173460424,0.018006765968795,0.0197252199286841,0.00452519631653709,0.0130115096617931
"DL","Delta Air Lines Inc.",2012,5136802,1965386,178807,1361153,2025,1629431,0.0902512394782184,0.108193595580535,0.0784306586952421,0.106101168135313,0.027719980288014,0.0691328795727641,0.0132817449132253,0.0165847711460798,0.0107157004635498,0.0146924019686815,0.00395661595034007,0.0102861936580579
"DL","Delta Air Lines Inc.",2013,6634527,2691572,333994,1749949,7816,1851196,0.092226135088573,0.127339978048812,0.112298862903153,0.100416735860596,0.0754068942894907,0.0611035734544141,0.0171542713217106,0.0227126404905684,0.020015881149076,0.0188890992656168,0.0152715606261027,0.01168614108546
"DL","Delta Air Lines Inc.",2014,6965629,2694134,498602,1833423,3556,1935914,0.0990604386330063,0.126726664885181,0.166830786547456,0.110985051710552,0.0544146901300689,0.065659851124597,0.0180103705648309,0.0227342597468755,0.0298806516664719,0.0197901247652732,0.00694801299723916,0.0122209448018023
"DL","Delta Air Lines Inc.",2015,7229891,2707569,602901,1779383,3910,2136128,0.11539785398574,0.134217761640882,0.194469576964054,0.124121968542726,0.0482805457800827,0.0855754308430706,0.0186936479179893,0.0228476300468306,0.0361311722984817,0.0192068123805614,0.0076396880818912,0.0134848461127841
"EV","Atlantic Southeast Airlines",2010,3880916,1325946,184852,722237,2427,1645454,0.0613510828392233,0.0689967818403065,0.0663690950634997,0.0445025416661583,0.0225956614840331,0.06603408352905,0.0100345188196186,0.0111889018045615,0.0110779704490769,0.00779588798662207,0.00474207748714833,0.0103873428819177
"EV","Atlantic Southeast Airlines",2011,4753139,1788303,172145,634309,3478,2154904,0.077066338119327,0.0963876338371285,0.0672869046069514,0.0414494083267497,0.0427519575184689,0.0855807828230327,0.012289743644996,0.0150904687399055,0.0103164543686644,0.00684678562979501,0.00679561001248532,0.0136033743426531
"EV","ExpressJet Airlines Inc.",2012,10234754,3441656,375026,1872886,5186,4540000,0.179819902393484,0.189461580265312,0.164498795952294,0.145990489228083,0.070990527295625,0.192621395603955,0.0264630390421146,0.0290421714225768,0.0224748823146925,0.0202160917644937,0.0101328446017104,0.028659893673057
"EV","ExpressJet Airlines Inc.",2013,11855385,3366064,312367,2859779,5278,5311897,0.164800947910385,0.159250622264943,0.105027212789658,0.164101738086469,0.0509208787180056,0.175333075763875,0.0306533519139101,0.0284042936619361,0.0187197995978773,0.0308686992642222,0.0103126019683432,0.033532687934412
"EV","ExpressJet Airlines Inc.",2014,10822734,3335616,276162,2680248,2833,4527875,0.153913562902697,0.156900692770904,0.0924030061542446,0.162247044395704,0.0433511859219587,0.153570663991678,0.0279833235253549,0.0281473603613754,0.0165500750609027,0.0289308262860638,0.00553535456163626,0.0285833515561438
"EV","ExpressJet Airlines Inc.",2015,6850156,2363973,169313,1687894,0,2628976,0.109336821518822,0.117185255348795,0.0546129919912471,0.117740096410641,0,0.105319416194204,0.0177118029092419,0.0199482194340001,0.0101467358245762,0.0182192722849861,0,0.0165960732663037
"F9","Frontier Airlines Inc.",2010,722951,156994,12116,197692,0,356149,0.0114287005154709,0.00816932270864506,0.00435011769301583,0.0121813150905675,0,0.0142926953988307,0.00186926628021892,0.00132478279651308,0.000726098121529744,0.00213390436636629,0,0.00224828028012458
"F9","Frontier Airlines Inc.",2011,850311,198889,18155,309822,0,323445,0.0137867533502772,0.0107199060261223,0.00709630691068112,0.0202455563244574,0,0.0128454336249762,0.00219856903164839,0.00167831079923876,0.0010880085338703,0.00334424518238642,0,0.002041828041648
"F9","Frontier Airlines Inc.",2012,794945,217305,13588,276770,0,287282,0.0139668166238474,0.0119625403292931,0.00596014580162382,0.0215740774951901,0,0.0121886915797127,0.00205541438234214,0.00183371291639346,0.000814313409982351,0.0029874790658155,0,0.00181353999431347
"F9","Frontier Airlines Inc.",2013,1118193,229551,19914,446957,0,421771,0.0155439293069569,0.0108602033685455,0.00669568781431218,0.0256475834496002,0,0.0139216567448513,0.00289120627771016,0.00193704992370647,0.00119342340641658,0.0048244921083199,0,0.00266253568598655
"F9","Frontier Airlines Inc.",2014,1327023,254513,20749,533348,0,518413,0.0188720186584855,0.0119717815297688,0.00694255536494674,0.0322858693055119,0,0.0175828680411711,0.0034311583315812,0.0021476900001843,0.00124346400822224,0.0057570039556114,0,0.00327261265610804
"F9","Frontier Airlines Inc.",2015,1583839,346950,21616,581234,0,634039,0.0252799968435099,0.0171987684898534,0.00697237917279121,0.0405443393940273,0,0.0254002384671282,0.0040951832641433,0.00292771310527926,0.00129542233368991,0.0062738895376674,0,0.0040025309084959
"FL","AirTran Airways Corporation",2010,2250331,396780,33321,684678,0,1135552,0.0355741385787974,0.0206468009244696,0.0119635417339865,0.0421882446107053,0,0.0455710920023165,0.00581846882794454,0.00334820004586455,0.00199688969193567,0.00739047292634471,0,0.00716845805731878
"FL","AirTran Airways Corporation",2011,1990102,345789,32337,639600,0,972376,0.0322670710080115,0.0186376601263359,0.0126396737301402,0.0417951527816713,0,0.0386173580253827,0.00514561922287436,0.00291791608866238,0.00193791968932877,0.00690389713659571,0,0.00613836845159306
"FL","AirTran Airways Corporation",2012,1359781,291128,10554,449045,0,609054,0.0238907243590334,0.0160264625341637,0.00462933314618323,0.0350028241096494,0,0.0258407117793329,0.00351585760553948,0.00245666309529829,0.000632489235277725,0.00484703015900973,0,0.00384480680201543
"FL","AirTran Airways Corporation",2013,1791450,389441,44578,489751,0,867680,0.0249028317624488,0.0184247006549732,0.01498846898596,0.0281032171820223,0,0.0286400514126684,0.00463198346457532,0.0032862704119702,0.00267150891891325,0.00528641420660551,0,0.00547744857758549
"FL","AirTran Airways Corporation",2014,678612,166873,20783,168921,0,322035,0.00965075837108489,0.00784937154179592,0.00695393166657131,0.0102255212899577,0,0.010922370599577,0.00175462310578715,0.00140814604126608,0.00124550158961313,0.00182334773016086,0,0.00203292706145439
"HA","Hawaiian Airlines Inc.",2010,216374,157988,1486,1833,441,54626,0.00342052731835837,0.00822104638453327,0.000533532097377148,0.000112945139717389,0.00410576296434224,0.00219220825793847,0.000559457863833219,0.00133317059540816,8.90542925547375e-05,1.97855588670731e-05,0.000861663029185172,0.000344840385855598
"HA","Hawaiian Airlines Inc.",2011,210226,138703,2687,874,222,67740,0.00340855758636001,0.0074759444994004,0.00105027687518591,5.71122006428717e-05,0.0027288483522427,0.00269025544916722,0.000543561559532117,0.00117043548304237,0.00016102885874467,9.43403079641127e-06,0.000433762341222467,0.000427625814408124
"HA","Hawaiian Airlines Inc.",2012,227971,158544,3581,3703,448,61695,0.00400534521577607,0.00872777429864684,0.00157074493049859,0.000288646923310652,0.00613261786124952,0.00261757202682512,0.000589443133999107,0.00133786236219454,0.000214605263552164,3.99704989005846e-05,0.000875340220124619,0.000389465229109968
"HA","Hawaiian Airlines Inc.",2013,224531,159197,3699,3906,778,56951,0.00312119105666047,0.00753171101699554,0.00124371543763888,0.000224136686424283,0.00750595749196824,0.00187981694634298,0.00058054865013512,0.0013433726566397,0.000221676869555837,4.21616982732064e-05,0.00152012207869856,0.000359517534047196
"HA","Hawaiian Airlines Inc.",2014,246849,161083,5351,8862,289,71264,0.00351051860731012,0.00757702154373153,0.00179042911744325,0.000536455323326321,0.00442234123947972,0.00241704106202201,0.000638254199808509,0.00135928753462372,0.000320679353607268,9.56571864048017e-05,0.000564672597357176,0.00044987195214025
"HA","Hawaiian Airlines Inc.",2015,341192,196422,11429,6241,401,126699,0.00544583930755008,0.00973689725987604,0.0036864971116687,0.000435344839011697,0.00495153423473483,0.00507568905626732,0.000882188005384121,0.00165749319373156,0.000684926991660899,6.73658881011473e-05,0.000783507652388331,0.000799819354291333
"MQ","American Eagle Airlines Inc.",2010,4777239,1389821,353543,1270102,5026,1758747,0.075520517741628,0.0723205743929818,0.1269357592887,0.0782606916777609,0.0467926636253608,0.0705806703222734,0.0123520567441594,0.0117279064870798,0.0211874305199728,0.0137095896825899,0.00982022309452307,0.0111025334840987
"MQ","American Eagle Airlines Inc.",2011,4962075,1495670,410623,1430509,520,1624753,0.0804539799327264,0.0806150256982055,0.160501615675275,0.0934777082716633,0.0063918970412892,0.0645261383495835,0.0128299697730791,0.012621105808252,0.0246081701020888,0.0154410365681276,0.00101601989835893,0.0102566626046212
"MQ","American Eagle Airlines Inc.",2012,4484349,1449895,461716,1017505,2199,1553034,0.0787879415058064,0.079816053062472,0.202523894535071,0.0793139853370793,0.03010184526091,0.0658915366740955,0.0115947586688911,0.0122348366991753,0.0276701155728151,0.0109830360474856,0.00429659183940633,0.00980391835036177
"MQ","American Eagle Airlines Inc.",2013,6576260,1716605,643256,1577059,2348,2636992,0.0914161692517913,0.0812136710511481,0.216282080982384,0.0904958470444428,0.0226529411197191,0.0870408289401567,0.0170036158300528,0.0144854502236285,0.0385496016228737,0.0170229098097913,0.00458772061797456,0.0166466762856172
"MQ","American Eagle Airlines Inc.",2014,1542855,390147,161617,421365,154,569572,0.0219414345850356,0.0183517331079147,0.0540765805781771,0.0255070522809067,0.00235654169854629,0.0193180134679221,0.00398921479708468,0.00329222794317737,0.00968552328386206,0.00454824987017144,0.000300898200667838,0.0035955667310904
"MQ","Envoy Air",2014,4110020,1039219,300667,1207211,5271,1557652,0.0584499094037923,0.0488827793848832,0.1006023082516,0.0730777214317413,0.0806579954093344,0.0528304451664334,0.0106268914449601,0.00876937623736911,0.0180186318839537,0.0130307388464147,0.0102989247774037,0.00983307063868384
"MQ","Envoy Air",2015,3812234,1055033,402305,930774,7049,1417073,0.060847891412398,0.0522993754608893,0.129766053067624,0.0649267196260652,0.0870408100265481,0.0567693661199528,0.00985693424382028,0.00890282156103789,0.0241096818076943,0.0100468542110971,0.0137729312760233,0.00894563028787664
"NK","Spirit Air Lines",2015,2162991,471115,44088,941423,5147,701218,0.0345239671788233,0.0233537910854512,0.0142208666251859,0.065669547248343,0.0635549793171575,0.0280914966073738,0.00559264201960716,0.003975470700659,0.00264214377533867,0.0101618004284324,0.0100566431093335,0.00442661526908231
"OH","Comair Inc.",2010,1903634,908078,232052,613873,1015,148616,0.030093412799855,0.0472526480414601,0.0833157404176056,0.0378254073942897,0.00944977190205754,0.00596414202873693,0.00492204706277227,0.00766275215799332,0.0139066128505464,0.00662619769689402,0.00198319268621984,0.000938175937910802
"OO","SkyWest Airlines Inc.",2010,6211607,1389117,150120,1544218,7254,3120898,0.0981955846562253,0.0722839411255519,0.0538989491643724,0.0951510735210626,0.0675356112093846,0.125245457616953,0.0160607669275951,0.0117219658327316,0.00899652112941938,0.0166684212452776,0.0141734775821071,0.0197014548115543
"OO","SkyWest Airlines Inc.",2011,5843981,1348192,139645,1400901,6274,2948969,0.0947530075827622,0.072666118011403,0.0545835185096153,0.0915429507926768,0.0771206962250931,0.117116621223431,0.0151102310191701,0.0113766231065936,0.00836876627443225,0.0151214452822922,0.0122586708505845,0.0186161096883571
"OO","SkyWest Airlines Inc.",2012,5581930,1360820,109605,1277785,4660,2829060,0.098071932922595,0.0749125152707424,0.0480763747856181,0.0996026759120986,0.0637901768603187,0.120030283138178,0.014432670440379,0.0114831835939649,0.00656850318671737,0.0137925206420965,0.00910510139683197,0.0178591539195372
"OO","SkyWest Airlines Inc.",2013,6517526,1694065,182183,1450952,8047,3182279,0.0905997116779066,0.080147289358509,0.0612554229725236,0.0832594914082658,0.0776355269124273,0.105039454832951,0.0168517528604983,0.0142952480233316,0.0109180203098922,0.0156617000596276,0.0157229079271045,0.0200889378365644
"OO","SkyWest Airlines Inc.",2014,7236415,1991706,184342,1582523,7489,3470355,0.10291137297586,0.0936858592823535,0.0616802998257753,0.0957969857409545,0.11459831675593,0.11770305532658,0.0187105164100616,0.0168068706097805,0.0110474067282136,0.0170818886933972,0.0146326404207885,0.0219074901558947
"OO","SkyWest Airlines Inc.",2015,6506580,2043703,250325,1333972,9896,2868684,0.103852930671643,0.101309049600862,0.0807439311819466,0.0930520470415176,0.122195468296598,0.114922359171652,0.0168234508196916,0.0172456436270314,0.0150016929904204,0.0143990079285473,0.0193356402195385,0.0181092904012335
"UA","United Air Lines Inc.",2010,2660172,657918,77169,792328,1321,1131436,0.0420530701356541,0.0342353494899572,0.0277066880366737,0.0488213838854336,0.0122986686528256,0.0454059118831485,0.00687815608413646,0.00555179464130025,0.00462465053980925,0.00855245623896905,0.00258108131871567,0.00714247477045572
"UA","United Air Lines Inc.",2011,3324137,836099,95246,993489,1890,1397413,0.0538968176602799,0.0450648487776341,0.0372291296069807,0.0649203010348809,0.0232320873231473,0.0554974599643801,0.00859490782214576,0.00705536244303469,0.00570798462225339,0.0107238052882103,0.00369284155365074,0.00882152158531886
"UA","United Air Lines Inc.",2012,6430231,2117628,158014,1661009,9977,2483603,0.112976189831974,0.116574447676953,0.0693101618117299,0.129474787318742,0.136573947325193,0.105373364754663,0.0166260424044208,0.0178694545257424,0.00946959958529226,0.0179290732941834,0.0194939048575521,0.0156783695828382
"UA","United Air Lines Inc.",2013,5827264,1732247,201021,1713003,6076,2174917,0.0810044238060646,0.0819537039897578,0.0675893271126267,0.0982966759485039,0.0586197914154229,0.0717888330931754,0.0150670074474392,0.0146174441374281,0.0120469602581735,0.0184903009797997,0.0118718017354401,0.0137297114466353
"UA","United Air Lines Inc.",2014,6473753,1985119,282459,1793066,208,2412901,0.0920653126633274,0.0933760200013086,0.0945099641345361,0.108542067340943,0.00318286151491966,0.0818376851649356,0.0167385731389349,0.016751286674849,0.0169274471202682,0.0193545078535446,0.000406407959343573,0.0152320453972716
"UA","United Air Lines Inc.",2015,6775806,2214313,325044,1510372,1305,2724772,0.10815010508785,0.109766412022115,0.104845022938598,0.105356938821948,0.0161140952028153,0.109157100065696,0.0175195631199142,0.018685324079234,0.0194795178123567,0.0163030846247566,0.00254981916799694,0.017200809648309
"US","US Airways Inc.",2010,2961104,863480,93346,1097368,10371,896539,0.0468103243666071,0.0449319513641339,0.0335148635005163,0.0676172297225271,0.0965552555627968,0.0359792076916468,0.00765624760104264,0.00728641508040507,0.00559411977982135,0.0118450841041147,0.0202637353190009,0.00565962828496671
"US","US Airways Inc.",2011,3673355,1151148,126345,1329213,12143,1054506,0.0595589606073629,0.0620456555272472,0.049384902045167,0.0868584434246148,0.149263088023798,0.0418791041139582,0.00949784789947533,0.00971388120973055,0.00757171237740802,0.0143476388752748,0.023726018511101,0.00665683476599134
"US","US Airways Inc.",2012,2390504,803116,71106,892918,9406,613958,0.0420000515841644,0.0442111665129684,0.0311894412253653,0.0696024935103161,0.128757597327931,0.0260487768286813,0.00618090094616158,0.00677703772376268,0.00426130183472218,0.0096382333074027,0.0183782368537772,0.00387576453738386
"US","US Airways Inc.",2013,3430797,1091974,99878,1272552,11621,954772,0.0476912894594401,0.0516619823619333,0.0335819979671523,0.0730224241122873,0.112116622126173,0.0315147510226998,0.00887068853404483,0.00921454558415973,0.00598557512232979,0.0137360351922594,0.0227060908439022,0.006027238766963
"US","US Airways Inc.",2014,3527956,1264474,130887,1159883,13627,959085,0.0501721910308382,0.0594783232214969,0.0437944114922061,0.0702127521762247,0.208523335883703,0.0325290164314294,0.0091219034054812,0.0106701746680643,0.00784390927968501,0.012519876364112,0.0266255829902638,0.0060544656659524
"US","US Airways Inc.",2015,1838065,636322,70557,601963,6163,523060,0.029337753015405,0.0315433196800707,0.0227586120140002,0.0419903036894725,0.0761005124405754,0.0209543083826327,0.00475251147774967,0.00536955831842488,0.00422840088814577,0.00649764013764316,0.0120417896799733,0.00330194801423551
"VX","Virgin America",2012,618869,87122,43565,304401,967,182814,0.0108732425981468,0.0047960260397537,0.0191090485610643,0.0237278995686432,0.0132371461424739,0.0077563629550532,0.00160015126000629,0.000735172852451765,0.00261080097923764,0.0032857304444604,0.00188940623406363,0.00115405942774146
"VX","Virgin America",2013,687659,104426,41564,311105,5712,224852,0.00955910373548454,0.00494046027664326,0.013975071221958,0.0178520337506468,0.0551080066762501,0.00742182929218295,0.00177801508122828,0.0008811914360337,0.00249088332149738,0.00335809399418482,0.0111605878065889,0.00141943489254939
"VX","Virgin America",2014,667475,100494,44487,310494,1689,210311,0.0094923755308481,0.00472703639127504,0.0148852214815358,0.0187955494426634,0.0258454475899005,0.00713305908726582,0.00172582721427749,0.000848011531350149,0.0026660553922494,0.00335149880789579,0.00330011078524661,0.00132764116702077
"VX","Virgin America",2015,663117,130710,35264,239808,1826,255509,0.0105841538608897,0.00647946686643247,0.0113746289391797,0.0167279562816403,0.0225473853182688,0.010235946890487,0.00171455914431259,0.00110298711627339,0.00211333147553854,0.00258850807462906,0.00356779295077579,0.00161296492786545
"WN","Southwest Airlines Co.",2010,10029222,2810519,387527,1292940,26844,5511392,0.158545979798316,0.146247860999646,0.139137343943657,0.0796679154098208,0.249920863979145,0.221178908489291,0.0259316143160875,0.0237163663609637,0.0232240530490308,0.0139561050090526,0.05245007336836,0.0347920503767703
"WN","Southwest Airlines Co.",2011,10082029,2665593,401925,1323522,29827,5661162,0.163467774841607,0.143672633800208,0.157101798682209,0.0864865606627629,0.366636755866409,0.224829818705615,0.0260681524002171,0.0224934185313177,0.0240869088392079,0.0142862097342424,0.0582785105929844,0.0357375112303856
"WN","Southwest Airlines Co.",2012,8821656,2598575,355588,1231329,23587,4612577,0.154992422960913,0.143050358878962,0.155972646843377,0.0959814548833868,0.322879592618956,0.195700664993548,0.0228093246935006,0.0219278918649692,0.0213099850477483,0.0132910706024191,0.0460862718126772,0.0291180542684556
"WN","Southwest Airlines Co.",2013,11652537,3177218,447198,1749046,24200,6254875,0.161981170848592,0.150316198257483,0.150361464255538,0.10036491931481,0.233475798593357,0.206458534920494,0.0301288669537816,0.0268107300098838,0.0268000683189055,0.0188793522063386,0.0472840029620888,0.0394854741053442
"WN","Southwest Airlines Co.",2014,15362643,4439535,478836,1945812,13850,8484610,0.218477061316686,0.208826830510669,0.160217140138302,0.1177884456773,0.211935730680949,0.287770133100059,0.0397217384510725,0.0374627029855771,0.0286960977319921,0.0210032612494584,0.0270612992159062,0.0535612379862018
"WN","Southwest Airlines Co.",2015,12371384,3831371,545369,1669198,11888,6313558,0.197462335799187,0.189926107011784,0.175912262078366,0.116435945295409,0.146792615916528,0.252927467830914,0.0319875219079024,0.0323307539642223,0.0326833448696397,0.0180174660609933,0.0232277779840211,0.0398559253257001
"XE","ExpressJet Airlines Inc.",2010,4320595,1046190,150767,1442939,12001,1668698,0.068301705514815,0.0544394290517942,0.0541312474597984,0.0889105002502292,0.111730751326692,0.0669668937063927,0.0111713553809075,0.00882820052921779,0.00903529510471071,0.0155752070518797,0.0234485669234722,0.0105340764873222
"XE","ExpressJet Airlines Inc.",2011,5642966,1747864,151793,1412607,6345,2324357,0.0914937951008515,0.0942080146536123,0.0593318487960903,0.0923078883449943,0.077993436013423,0.0923105120321814,0.0145904854744262,0.0147492270904909,0.00909678211962401,0.0152478008480848,0.0123973966443989,0.0146730890921202
"YV","Mesa Airlines Inc.",2010,1411861,494871,62115,306091,3360,545424,0.0223192671958034,0.0257510535316629,0.0223017134781841,0.018860605979943,0.0312820035378456,0.0218885328758802,0.003650515954271,0.0041759340311937,0.00372248141456092,0.00330397244908961,0.00656505165093464,0.00344312639795891
"YV","Mesa Airlines Inc.",2011,1304043,387822,86421,193753,2027,634020,0.0211434630378244,0.0209031942181962,0.033779671689781,0.0126609384567029,0.0249161063513331,0.0251797425432684,0.00337174111088515,0.00327260859465518,0.00517911239358881,0.00209138646326896,0.00396052371917992,0.00400241096620961
"YV","Mesa Airlines Inc.",2012,985979,314822,35158,159601,2294,474104,0.0173231958034385,0.0173308063392408,0.0154214605603099,0.0124408149088046,0.0314022887805946,0.0201151044364356,0.00254935299585169,0.00265660324320573,0.00210697901590812,0.00172274685256068,0.00448221085929883,0.00299290093171168
