"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"OO","SkyWest Airlines Inc.",2014,7236415,1991706,184342,1582523,7489,3470355,10.291137297586,9.36858592823535,6.16802998257753,9.57969857409545,11.459831675593,11.770305532658
"OO","SkyWest Airlines Inc.",2015,6506580,2043703,250325,1333972,9896,2868684,10.3852930671643,10.1309049600862,8.07439311819467,9.30520470415176,12.2195468296598,11.4922359171652
"UA","United Air Lines Inc.",2007,8056164,1838180,235286,2262296,895,3719507,7.97910720837442,6.37657590591066,4.0952793049203,8.01963170175978,0.505804030608208,9.78638823964348
"UA","United Air Lines Inc.",2008,7216447,1720150,214132,2047161,1661,3233343,8.32942540578012,7.15292115003786,4.62117129725445,7.82210007748505,1.45298995766122,10.2094041466434
"UA","United Air Lines Inc.",2009,3884397,983008,104269,1062730,1934,1732456,5.88493114523736,5.31181591676198,3.16890739267871,5.25576146647975,2.45350518864334,7.24565727350514
"UA","United Air Lines Inc.",2010,2660172,657918,77169,792328,1321,1131436,4.20530701356541,3.42353494899572,2.77066880366737,4.88213838854336,1.22986686528256,4.54059118831485
"UA","United Air Lines Inc.",2011,3324137,836099,95246,993489,1890,1397413,5.38968176602799,4.50648487776341,3.72291296069807,6.49203010348809,2.32320873231473,5.54974599643801
"UA","United Air Lines Inc.",2012,6430231,2117628,158014,1661009,9977,2483603,11.2976189831974,11.6574447676953,6.93101618117299,12.9474787318742,13.6573947325193,10.5373364754663
"UA","United Air Lines Inc.",2013,5827264,1732247,201021,1713003,6076,2174917,8.10044238060646,8.19537039897578,6.75893271126267,9.82966759485039,5.86197914154229,7.17888330931754
"UA","United Air Lines Inc.",2014,6473753,1985119,282459,1793066,208,2412901,9.20653126633274,9.33760200013086,9.45099641345361,10.8542067340943,0.318286151491966,8.18376851649356
"UA","United Air Lines Inc.",2015,6775806,2214313,325044,1510372,1305,2724772,10.815010508785,10.9766412022115,10.4845022938598,10.5356938821948,1.61140952028153,10.9157100065696
"US","US Airways Inc.",2007,6948836,2042191,167759,2192671,19934,2526281,6.88237074337261,7.08428223888172,2.91993557166225,7.77281746647181,11.2655838504402,6.64689343733854
"US","US Airways Inc.",2008,4166644,1109335,101863,1567919,10900,1376627,4.80925729662274,4.61296153473665,2.19829998249785,5.99094029799819,9.5349732320935,4.34675238667264
"US","US Airways Inc.",2009,3493662,906489,83511,1444734,7244,1051684,5.29296061003349,4.89833521046589,2.53803743461615,7.14497312253645,9.18986121330525,4.39846196615036
"US","US Airways Inc.",2010,2961104,863480,93346,1097368,10371,896539,4.68103243666071,4.49319513641339,3.35148635005163,6.76172297225271,9.65552555627968,3.59792076916468
"US","US Airways Inc.",2011,3673355,1151148,126345,1329213,12143,1054506,5.95589606073629,6.20456555272472,4.9384902045167,8.68584434246148,14.9263088023798,4.18791041139582
"US","US Airways Inc.",2012,2390504,803116,71106,892918,9406,613958,4.20000515841645,4.42111665129683,3.11894412253653,6.96024935103161,12.8757597327931,2.60487768286813
"US","US Airways Inc.",2013,3430797,1091974,99878,1272552,11621,954772,4.76912894594401,5.16619823619333,3.35819979671523,7.30224241122873,11.2116622126173,3.15147510226998
"US","US Airways Inc.",2014,3527956,1264474,130887,1159883,13627,959085,5.01721910308382,5.94783232214969,4.37944114922061,7.02127521762247,20.8523335883703,3.25290164314293
"US","US Airways Inc.",2015,1838065,636322,70557,601963,6163,523060,2.9337753015405,3.15433196800707,2.27586120140002,4.19903036894725,7.61005124405754,2.09543083826327
"VX","Virgin America",2012,618869,87122,43565,304401,967,182814,1.08732425981468,0.47960260397537,1.91090485610643,2.37278995686432,1.32371461424739,0.77563629550532
"VX","Virgin America",2013,687659,104426,41564,311105,5712,224852,0.955910373548454,0.494046027664326,1.3975071221958,1.78520337506468,5.51080066762501,0.742182929218295
"VX","Virgin America",2014,667475,100494,44487,310494,1689,210311,0.94923755308481,0.472703639127504,1.48852214815358,1.87955494426634,2.58454475899005,0.713305908726582
"VX","Virgin America",2015,663117,130710,35264,239808,1826,255509,1.05841538608897,0.647946686643247,1.13746289391797,1.67279562816403,2.25473853182688,1.0235946890487
"WN","Southwest Airlines Co.",2007,10476439,2102273,470366,1597151,39398,6267251,10.3762324032871,7.29270439208702,8.18697306910799,5.6617537192734,22.2655499417902,16.4897529380356
"WN","Southwest Airlines Co.",2008,11127162,2261002,510665,1718542,25821,6611132,12.8432822768644,9.40195275184019,11.0206341906508,6.566463268576,22.5873893418244,20.8749020610578
"WN","Southwest Airlines Co.",2009,8558081,2123036,385787,1287158,19613,4742487,12.9656462561278,11.4721105185906,11.7247051021813,6.36567652900656,24.88138431482,19.8345212958099
"WN","Southwest Airlines Co.",2010,10029222,2810519,387527,1292940,26844,5511392,15.8545979798316,14.6247860999646,13.9137343943657,7.96679154098208,24.9920863979145,22.1178908489291
"WN","Southwest Airlines Co.",2011,10082029,2665593,401925,1323522,29827,5661162,16.3467774841607,14.3672633800208,15.7101798682209,8.64865606627629,36.6636755866409,22.4829818705615
"WN","Southwest Airlines Co.",2012,8821656,2598575,355588,1231329,23587,4612577,15.4992422960913,14.3050358878962,15.5972646843377,9.59814548833868,32.2879592618956,19.5700664993548
"WN","Southwest Airlines Co.",2013,11652537,3177218,447198,1749046,24200,6254875,16.1981170848592,15.0316198257483,15.0361464255538,10.036491931481,23.3475798593357,20.6458534920494
"WN","Southwest Airlines Co.",2014,15362643,4439535,478836,1945812,13850,8484610,21.8477061316686,20.8826830510669,16.0217140138302,11.77884456773,21.1935730680949,28.7770133100059
"WN","Southwest Airlines Co.",2015,12371384,3831371,545369,1669198,11888,6313558,19.7462335799187,18.9926107011784,17.5912262078366,11.6435945295409,14.6792615916528,25.2927467830914
"XE","ExpressJet Airlines Inc.",2007,6562382,1266355,284451,2453029,11498,2547049,6.49961315587748,4.3929369165857,4.95102255792476,8.69576268257385,6.49802764685271,6.70153608513055
"XE","ExpressJet Airlines Inc.",2008,5516150,1218009,247486,2074904,13173,1962578,6.36689494873225,5.06486198124376,5.34098219636633,7.92810469678449,11.5233213198502,6.19691507251508
"XE","ExpressJet Airlines Inc.",2009,3707790,695052,187183,1700616,6091,1118848,5.61736837171886,3.75580694824177,5.68880100973232,8.41044483742713,7.72714586557735,4.67936221707604
"XE","ExpressJet Airlines Inc.",2010,4320595,1046190,150767,1442939,12001,1668698,6.8301705514815,5.44394290517942,5.41312474597984,8.89105002502292,11.1730751326692,6.69668937063927
"XE","ExpressJet Airlines Inc.",2011,5642966,1747864,151793,1412607,6345,2324357,9.14937951008515,9.42080146536123,5.93318487960903,9.23078883449943,7.7993436013423,9.23105120321814
"YV","Mesa Airlines Inc.",2007,4281706,1777089,172263,684266,9247,1638841,4.24075170375628,6.16465357041142,2.9983301127287,2.4256601726902,5.22588812406045,4.31195163473158
"YV","Mesa Airlines Inc.",2008,3824256,1927740,187161,874222,9122,826011,4.41406346982207,8.01614523022642,4.03911158147984,3.34035865959694,7.9796353966199,2.60816131433413
"YV","Mesa Airlines Inc.",2009,2796768,1704272,209531,767601,5058,110306,4.23715369700965,9.20926293182942,6.36799369798658,3.79619259589108,6.41666455230508,0.461333200503365
"YV","Mesa Airlines Inc.",2010,1411861,494871,62115,306091,3360,545424,2.23192671958034,2.57510535316629,2.23017134781841,1.8860605979943,3.12820035378456,2.18885328758802
"YV","Mesa Airlines Inc.",2011,1304043,387822,86421,193753,2027,634020,2.11434630378244,2.09031942181962,3.3779671689781,1.26609384567029,2.49161063513331,2.51797425432684
